epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.494,0.66771,1.41253,1.07157,0.78362,0.77626,0.84509,0.69677,0.65434,1.09148,0.99093,0.000330808,0.000330808,0.000330808
2,326.419,0.73969,1.10422,1.07738,0.76631,0.75062,0.83067,0.66677,0.7439,1.06758,1.07267,0.000652187,0.000652187,0.000652187
3,486.321,0.82889,1.15747,1.11552,0.75966,0.75703,0.81247,0.60854,0.83409,1.21305,1.13029,0.000961566,0.000961566,0.000961566
4,636.839,0.81519,1.08661,1.11107,0.74538,0.75346,0.78217,0.61366,0.77387,1.14071,1.09848,0.000946,0.000946,0.000946
5,795.819,0.76869,1.00427,1.09611,0.72274,0.71846,0.77134,0.60701,0.77788,1.06891,1.09357,0.000928,0.000928,0.000928
6,943.609,0.74318,0.96662,1.07296,0.84338,0.72337,0.85887,0.6884,0.72213,0.96322,1.04838,0.00091,0.00091,0.00091
7,1095.72,0.72073,0.89204,1.06816,0.83475,0.80131,0.89573,0.713,0.72703,0.82277,1.04008,0.000892,0.000892,0.000892
8,1246.57,0.70102,0.85718,1.06,0.89716,0.86995,0.93537,0.76181,0.69294,0.63936,1.00932,0.000874,0.000874,0.000874
9,1389.23,0.67586,0.79202,1.04518,0.9067,0.88307,0.9352,0.784,0.62688,0.58024,0.98673,0.000856,0.000856,0.000856
10,1536.63,0.66282,0.77949,1.04415,0.90566,0.87058,0.94112,0.79881,0.60031,0.58727,0.97271,0.000838,0.000838,0.000838
11,1692.32,0.65085,0.7499,1.04129,0.89037,0.84033,0.93309,0.78909,0.59869,0.59621,0.97127,0.00082,0.00082,0.00082
12,1841.64,0.63857,0.72342,1.03403,0.90129,0.88712,0.95271,0.81188,0.57528,0.54596,0.95515,0.000802,0.000802,0.000802
13,1997.3,0.61561,0.69763,1.02198,0.88391,0.83669,0.92777,0.80466,0.55941,0.63657,0.95024,0.000784,0.000784,0.000784
14,2150.65,0.61359,0.68447,1.02295,0.90589,0.88271,0.9473,0.82077,0.5701,0.54849,0.95575,0.000766,0.000766,0.000766
15,2300.92,0.59915,0.66217,1.01651,0.93942,0.87542,0.95034,0.81934,0.55154,0.48728,0.93849,0.000748,0.000748,0.000748
16,2458.54,0.59131,0.64907,1.00869,0.92286,0.87584,0.94918,0.8247,0.53941,0.50244,0.93414,0.00073,0.00073,0.00073
17,2608.05,0.58357,0.62842,1.00774,0.92572,0.89649,0.95463,0.83096,0.54079,0.48177,0.93948,0.000712,0.000712,0.000712
18,2763.26,0.56716,0.59477,1.00085,0.93643,0.89808,0.95296,0.83275,0.53217,0.4711,0.94307,0.000694,0.000694,0.000694
19,2912.76,0.55336,0.60073,0.99813,0.91906,0.88931,0.95811,0.83532,0.52571,0.47314,0.92928,0.000676,0.000676,0.000676
20,3060.76,0.56667,0.58631,1.0038,0.94288,0.91136,0.96312,0.8405,0.52634,0.44008,0.92901,0.000658,0.000658,0.000658
21,3211.27,0.55019,0.56005,0.99303,0.92712,0.89729,0.95601,0.84737,0.50597,0.45397,0.92691,0.00064,0.00064,0.00064
